Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Internship_binary
I am continuing my education,1,Education - Elementary Education,Female,School of Education and Human Development,0,1
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
I am continuing my education,0,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,0
I am continuing my education,1,Economics,Male,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,1
Working,0,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,1,0
Working,1,Economics,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,3,Economics,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,0
Working,0,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,0
Working,3,Applied Statistics,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Psychology,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Media Studies,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,0
I am taking a break,0,English,Male,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Architecture,Female,School of Architecture,0,1
Working,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
I am continuing my education,0,Psychology,Male,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,English,Female,College and Graduate School of Arts & Sciences,0,0
Working,2,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,1
Working,3,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Biology,Female,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,0
Working,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Working,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,0
Working,2,East Asian Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,0,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,0
I am continuing my education,2,Neuroscience - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Working,1,Education - Counselor Education,Female,School of Education and Human Development,1,1
I am taking a break,2,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,0,1
I am continuing my education,0,Astronomy,Female,College and Graduate School of Arts & Sciences,0,0
Working,3,Media Studies,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Government,Male,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,1,Religious Studies,Male,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,1
Working,0,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,0
Working,2,Education - English Education,Female,School of Education and Human Development,1,1
I am continuing my education,0,English,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,1,Statistics,Female,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Psychology,Male,College and Graduate School of Arts & Sciences,0,0
Working,2,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,1
I will be serving in the military,0,Data Science,Female,School of Data Science,0,0
I am continuing my education,1,Government,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
Working,0,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,0
Working,2,Education - Elementary Education,Female,School of Education and Human Development,1,1
Working,0,Biology,Female,College and Graduate School of Arts & Sciences,1,0
I am continuing my education,3,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,0,1
Working,0,Health Sciences Management (SCPS),Female,School of Continuing and Professional Studies,1,0
Working,0,Biology,Male,College and Graduate School of Arts & Sciences,1,0
Working,0,Economics,Male,College and Graduate School of Arts & Sciences,1,0
Working,1,Political & Social Thought - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Cognitive Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Education - Elementary Education,Female,School of Education and Human Development,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Engineering - Materials Science and Engineering,Female,School of Engineering & Applied Science,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Data Science,Male,School of Data Science,0,0
I am continuing my education,0,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
I will be serving in the military,1,Engineering - Engineering Science,Male,School of Engineering & Applied Science,0,1
I am continuing my education,0,Economics,Female,College and Graduate School of Arts & Sciences,0,0
I am taking a break,0,Psychology,Female,College and Graduate School of Arts & Sciences,0,0
Working,1,Biology,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,3,Economics,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,0,Engineering - Aerospace Engineering,Male,School of Engineering & Applied Science,0,0
I am taking a break,3,Psychology,Female,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Education - Reading Education,Female,School of Education and Human Development,0,0
I will be volunteering,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,1
Working,1,Education - English Education,Female,School of Education and Human Development,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,0,1
I will be serving in the military,2,Education - Kinesiology,Male,School of Education and Human Development,0,1
Working,3,Education - Special Education,Female,School of Education and Human Development,1,1
Working,3,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Middle Eastern and South Asian Languages and Cultures,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,3,Education - Kinesiology,Female,School of Education and Human Development,0,1
Working,1,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,0,Engineering - Computer Science,Female,School of Engineering & Applied Science,0,0
Working,0,Spanish,Female,College and Graduate School of Arts & Sciences,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,1,Cognitive Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1
Working,1,Education - Kinesiology,Female,School of Education and Human Development,1,1
Working,2,Engineering - Aerospace Engineering,Male,School of Engineering & Applied Science,1,1
Working,3,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Anthropology,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,History,Female,College and Graduate School of Arts & Sciences,1,0
Working,1,Education - Kinesiology,Female,School of Education and Human Development,1,1
Working,3,Architecture,Male,School of Architecture,1,1
Working,0,Engineering - Mechanical Engineering,Female,School of Engineering & Applied Science,1,0
Working,1,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Architecture,Female,School of Architecture,1,1
Working,2,Engineering - Mechanical Engineering,Female,School of Engineering & Applied Science,1,1
I will be serving in the military,0,Engineering - Computer Science,Female,School of Engineering & Applied Science,0,0
I am taking a break,0,Statistics,Male,College and Graduate School of Arts & Sciences,0,0
Working,0,Education - Reading Education,Female,School of Education and Human Development,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Sociology,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Education - Reading Education,Female,School of Education and Human Development,1,0
Working,1,Biology,Female,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Education - English Education,Male,School of Education and Human Development,0,1
Working,0,Interdisciplinary (SCPS-BIS),Female,School of Continuing and Professional Studies,1,0
Working,0,Biology,Male,College and Graduate School of Arts & Sciences,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Astronomy,Female,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Media Studies,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Education - Speech Communication Disorders,Female,School of Education and Human Development,1,1
Working,2,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,1
I am continuing my education,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,0,0
Working,2,Architecture - Urban & Environmental Planning,Male,School of Architecture,1,1
Working,2,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,0
Working,1,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,3,Architecture,Female,School of Architecture,0,1
Working,3,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Architecture,Male,School of Architecture,0,0
Working,3,Economics,Female,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,1
Working,2,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Architecture - Urban & Environmental Planning,Female,School of Architecture,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Architecture,Female,School of Architecture,0,0
I am continuing my education,2,Political Philosophy Policy & Law - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Psychology,Female,College and Graduate School of Arts & Sciences,1,0
Working,0,English,Female,College and Graduate School of Arts & Sciences,1,0
Working,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,0
Working,2,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,History,Male,College and Graduate School of Arts & Sciences,0,0
I have accepted a fellowship,3,Political & Social Thought - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,1,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,0,1
Working,0,Biology,Female,College and Graduate School of Arts & Sciences,1,0
Working,0,Spanish,Male,College and Graduate School of Arts & Sciences,1,0
I am continuing my education,0,Cognitive Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,English,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Education - Curriculum & Instruction,Male,School of Education and Human Development,1,0
Working,3,Education - Speech Communication Disorders,Female,School of Education and Human Development,1,1
Working,0,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0
I am continuing my education,1,Political Philosophy Policy & Law - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,1,Architecture - Urban & Environmental Planning,Male,School of Architecture,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Education - Social Studies Education,Male,School of Education and Human Development,0,1
Working,2,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,3,Education - Elementary Education,Female,School of Education and Human Development,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,English,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Education - Special Education,Female,School of Education and Human Development,1,0
Working,0,Engineering - Mechanical & Aerospace Engineering,Female,School of Engineering & Applied Science,1,0
Working,1,Mathematics,Male,College and Graduate School of Arts & Sciences,1,1
I am taking a break,0,Psychology,Female,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Linguistics,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Education - Elementary Education,Female,School of Education and Human Development,1,0
Working,0,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Interdisciplinary (SCPS-BIS),Female,School of Continuing and Professional Studies,1,0
I have accepted a fellowship,0,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,2,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,0,1
I am taking a break,0,Philosophy,Female,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Education - Youth & Social Innovation,Female,School of Education and Human Development,0,1
I am continuing my education,3,Foreign Affairs,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
I have accepted a fellowship,0,English,Male,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,2,Media Studies,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,3,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
I will be serving in the military,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1
Working,0,Education - Elementary Education,Female,School of Education and Human Development,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Psychology,Female,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Architecture,Female,School of Architecture,0,1
Working,3,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,2,Government,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Education - Elementary Education,Female,School of Education and Human Development,1,1
I am continuing my education,0,Education - Curriculum & Instruction,Female,School of Education and Human Development,0,0
I am continuing my education,0,Chemistry,Female,College and Graduate School of Arts & Sciences,0,0
I have accepted a fellowship,0,English,Female,College and Graduate School of Arts & Sciences,0,0
Working,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
I am continuing my education,1,Classics,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,Education - Counselor Education,Female,School of Education and Human Development,1,1
I am continuing my education,3,Engineering - Mechanical Engineering,Female,School of Engineering & Applied Science,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Physics,Male,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Education - Higher Education,Male,School of Education and Human Development,0,1
Working,2,Education - Social Studies Education,Male,School of Education and Human Development,1,1
Working,3,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Government,Male,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,1,Biology,Female,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,0,1
Working,2,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,1
I am continuing my education,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Art - Art History,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,2,English,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Anthropology,Female,College and Graduate School of Arts & Sciences,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Architecture,Male,School of Architecture,0,0
Working,1,Architecture,Female,School of Architecture,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Physics,Female,College and Graduate School of Arts & Sciences,0,0
Working,1,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
I am continuing my education,2,Archaeology - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Education - Curriculum & Instruction,Female,School of Education and Human Development,0,1
Working,1,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,1
Working,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,0,Sociology,Female,College and Graduate School of Arts & Sciences,1,0
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,3,Education - Speech Communication Disorders,Female,School of Education and Human Development,1,1
Working,1,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Mathematics,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,1
I am continuing my education,0,Astronomy,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,1,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Biology,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,1
Working,0,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,1,0
Working,1,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Education - Reading Education,Female,School of Education and Human Development,1,0
Working,2,American Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Human Biology - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Environmental Sciences,Male,College and Graduate School of Arts & Sciences,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,American Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1
Working,0,Education - Curriculum & Instruction,Female,School of Education and Human Development,1,0
Working,2,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,1
Working,1,Education - Kinesiology,Female,School of Education and Human Development,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Mathematics,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Philosophy,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Statistics,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Philosophy,Male,College and Graduate School of Arts & Sciences,1,0
I am continuing my education,2,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,0,1
Working,1,Architecture - Urban & Environmental Planning,Male,School of Architecture,1,1
I am taking a break,2,Psychology,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Interdisciplinary (SCPS-BIS),Female,School of Continuing and Professional Studies,1,0
Working,2,Architecture,Female,School of Architecture,1,1
Working,1,Architecture - Urban & Environmental Planning,Female,School of Architecture,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,Architecture,Female,School of Architecture,0,1
I am continuing my education,2,Architecture,Male,School of Architecture,0,1
I am continuing my education,3,Physics,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Architecture,Female,School of Architecture,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,1
Working,0,Architecture,Male,School of Architecture,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Anthropology,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,0,Spanish,Female,College and Graduate School of Arts & Sciences,0,0
I am taking a break,0,Education - Speech Communication Disorders,Female,School of Education and Human Development,0,0
Working,0,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,1,0
I am continuing my education,3,Media Studies,Male,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,0,Chemistry,Male,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,1,Media Studies,Female,College and Graduate School of Arts & Sciences,0,1
I will be serving in the military,0,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,0,Psychology,Female,College and Graduate School of Arts & Sciences,0,0
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,2,Statistics,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,2,Statistics,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Biology,Female,College and Graduate School of Arts & Sciences,1,0
Working,3,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,Applied Statistics,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Government,Male,College and Graduate School of Arts & Sciences,0,1
Working,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Education - Science Education,Female,School of Education and Human Development,1,0
I am continuing my education,1,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
I am continuing my education,3,History,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Applied Statistics,Male,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,1,English,Female,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,0
Working,1,History,Male,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Psychology,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,2,Media Studies,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Education - Elementary Education,Female,School of Education and Human Development,1,1
Working,2,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,0
Working,1,Music,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,Urban Development,Female,School of Architecture,0,1
Working,1,Biology,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,English,Female,College and Graduate School of Arts & Sciences,1,0
Working,2,Media Studies,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Neuroscience - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
I will be serving in the military,0,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
Working,1,Education - Counselor Education,Female,School of Education and Human Development,1,1
I am continuing my education,1,Economics,Male,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Art - Studio Art,Male,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Statistics,Male,College and Graduate School of Arts & Sciences,0,1
I am taking a break,0,Anthropology,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Philosophy,Male,College and Graduate School of Arts & Sciences,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Education - Youth & Social Innovation,Female,School of Education and Human Development,0,1
I will be serving in the military,0,Health Sciences Management (SCPS),Female,School of Continuing and Professional Studies,0,0
Working,0,Engineering - Mechanical & Aerospace Engineering,Female,School of Engineering & Applied Science,1,0
Working,0,Interdisciplinary (SCPS-BIS),Female,School of Continuing and Professional Studies,1,0
Working,0,Psychology,Female,College and Graduate School of Arts & Sciences,1,0
Working,2,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
I am continuing my education,0,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,0,1
I will be serving in the military,0,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,0,0
Working,1,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Art - Art History,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Sociology,Male,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Global Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1
Working,0,Economics,Male,College and Graduate School of Arts & Sciences,1,0
I am continuing my education,3,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,1,Spanish,Female,College and Graduate School of Arts & Sciences,1,1
I am taking a break,0,Creative Writing,Male,College and Graduate School of Arts & Sciences,0,0
Working,2,Education - Speech Communication Disorders,Female,School of Education and Human Development,1,1
Working,1,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
I am continuing my education,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,1,Government,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Psychology,Female,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Media Studies,Male,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
I am continuing my education,1,Applied Statistics,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Education - Elementary Education,Female,School of Education and Human Development,1,0
